company,title,category,location,period,duration,posted_at,first_seen_at,last_seen_at,application_deadline_at,url
GovTech,Tech – Software Engineer: Augment Resource Buddy,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/augment-resource-buddy
GovTech,Tech – Software Engineer: AssuranceAI - Litmus / Sentinel / Indepth,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/assurance-ai-litmus-sentinel-indepth
GovTech,Tech – Software Engineer: Applied GenAI for Workplace Productivity,Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/applied-gen-ai-for-workplace-productivity
GovTech,Tech – Software Engineer: Applications/Tools Development & Enhancement,Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/applications-tools-development-and-enhancement
GovTech,Tech – Software Engineer: Appeal Management System,Software,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/appeal-management-system
GovTech,Tech – Software Engineer: APEX Cloud,Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/apex-cloud
GovTech,Tech – Software Engineer: AI-Powered MOMGPT Platform,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-powered-momgpt-platform
GovTech,Tech – Software Engineer: AI-Enabled Procurement Solutions,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-enabled-procurement-solutions
GovTech,Tech – Software Engineer: AI-Augmented Infrastructure Automation,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-augmented-infrastructure-automation
GovTech,Tech – Software Engineer: AI-Assisted Incident Response & RCA,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-assisted-incident-response-and-rca
GovTech,Tech – Software Engineer: AI Solutions to Improve Software Delivery,Software,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-solutions-to-improve-software-delivery
GovTech,Tech – Software Engineer: AI Programme,Software,Non-Headquarters MOE1 (S329927),,6 months / 12 months / 3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-programme
GovTech,Tech – Software Engineer: AI Product Governance Platform,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-product-governance-platform
GovTech,Tech – Software Engineer: AI Enablement for Government Digital Transformation,Software,Punggol Digital District,,3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-enablement-for-government-digital-transformation
GovTech,Tech – Software Engineer: AI Cloud Security Platform,Software,Non-Headquarters MOM 1 (S059764),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-cloud-security-platform
GovTech,Tech – Software Engineer: AI Assistant,Software,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/software-engineer/ai-assistant
GovTech,Tech – Data Scientist: Tech for Public Good - AI Innovation Team,Data & AI,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/tech-for-public-good-ai-innovation-team
GovTech,Tech – Data Scientist: Singpass,Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/singpass
GovTech,Tech – Data Scientist: Responsible AI,Data & AI,Punggol Digital District,,6 months / 12 months / 3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/responsible-ai
GovTech,Tech – Data Scientist: Research of MOE DXD Products,Data & AI,Non-Headquarters MOE1 (S329927),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/research-of-moe-dxd-products
GovTech,Tech – Data Scientist: LLM-Driven Red Team & Payload Automation,Data & AI,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/llm-driven-red-team-and-payload-automation
GovTech,Tech – Data Scientist: Graph Analytics & Predictions Hub (GRAPH),Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/graph-analytics-and-predictions-hub-graph
GovTech,Tech – Data Scientist: GovTech Anti-Scam Products (GASP),Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/gov-tech-anti-scam-products-gasp
GovTech,Tech – Data Scientist: GASP - Mother Memory,Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/gasp-mother-memory
GovTech,Tech – Data Scientist: Enabling Responsible Data Use for AI in Government,Data & AI,Punggol Digital District,,12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/enabling-responsible-data-use-for-ai-in-government
GovTech,Tech – Data Scientist: EmPOWER Workplace Fairness,Data & AI,Non-Headquarter Service Centre MOM 2 (S339946),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/em-power-workplace-fairness-economic-and-national-development
GovTech,Tech – Data Scientist: Audit Automation,Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/audit-automation
GovTech,Tech – Data Scientist: AssureAI,Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/assure-ai
GovTech,Tech – Data Scientist: AI-Assisted Red Team Reconnaissance,Data & AI,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/ai-assisted-red-team-reconnaissance
GovTech,Tech – Data Scientist: AI Evaluation of MOE DXD Products,Data & AI,Non-Headquarters MOE1 (S329927),,12 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-scientist/ai-evaluation-of-moe-dxd-products
GovTech,Tech – Data Engineer: StellarNet and Nuclear Command Center Ops,Data & AI,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-engineer/stellar-net-and-nuclear-command-center-ops
GovTech,Tech – Data Engineer: Singpass Data Platform,Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-engineer/singpass-data-platform
GovTech,Tech – Data Engineer: SSOE - Data-as-a-Service,Data & AI,Non-Headquarters MOE1 (S329927),,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-engineer/ssoe-data-as-a-service
GovTech,Tech – Data Engineer: MSF DataSphere,Data & AI,Non-Headquarters MSF (S298136),,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-engineer/msf-data-sphere
GovTech,Tech – Data Engineer: Finance,Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-engineer/finance
GovTech,Tech – Data Engineer: Build & Automate WOG ICT Spend Data Pipeline,Data & AI,"Mapletree Business City, Block 10, Level 10 (S117438)",,3 months / 6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/data-engineer/build-and-automate-wog-ict-spend-data-pipeline
GovTech,Tech – Cybersecurity Engineer: Use of AI in Cybersecurity Operations,Security,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/use-of-ai-in-cybersecurity-operations
GovTech,Tech – Cybersecurity Engineer: Post-Quantum Cryptography Engineering,Security,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/post-quantum-cryptography-engineering
GovTech,Tech – Cybersecurity Engineer: Operationalising WOG CyberSec Initiatives,Security,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/operationalising-wog-cyber-sec-initiatives
GovTech,Tech – Cybersecurity Engineer: Enhancement of CyberSec Ops & IR,Security,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/enhancement-of-cyber-sec-ops-and-ir
GovTech,Tech – Cybersecurity Engineer: Develop Knowledge Hub from Pen Test Findings,Security,Non-Headquarters MOM 1 (S059764),,3 months / 6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/develop-knowledge-hub-from-pen-test-findings
GovTech,Tech – Cybersecurity Engineer: Cybersecurity Threat Modelling,Security,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/cybersecurity-threat-modelling
GovTech,Tech – Cybersecurity Engineer: Crowdsourced Vulnerability Discovery Programme,Security,Punggol Digital District,,6 months / 12 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/crowdsourced-vulnerability-discovery-programme
GovTech,Tech – Cybersecurity Engineer: AI Tooling for Mobile Security,Security,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/ai-tooling-for-mobile-security
GovTech,Tech – Cybersecurity Engineer: AI Security & Architecture Solutioning,Security,Punggol Digital District,,6 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,2026-09-30T12:00:00+08:00,https://internships.tech.gov.sg/projects/cybersecurity-engineer/ai-security-and-architecture-solutioning
ByteDance,Software Engineer Intern (Traffic Architecture) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7667819980343593269
ByteDance,Software Engineer Intern (Global Payment-Payment Network) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7669697232158640389
ByteDance,Software Engineer Intern (Global Payment-Financial Product) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7669741311945935109
ByteDance,Software Engineer Intern (Global Payment-Compliance) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7668622698050439477
ByteDance,Software Engineer Intern (Global Payment Product & Solutions) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7668649931755227397
ByteDance,"Software Engineer Intern (Data Management Suite, Traffic Infrastructure) - 2027 Start",Data & AI,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7665222364315420933
ByteDance,Software Engineer (SRE - Platform Services) Intern (Infrastructure Engineering) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7667854463549868341
ByteDance,"Site Reliability Engineer Intern, System - System Service Global (Infrastructure Engineering), 2027 Start",IT & Infrastructure,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7670464055076849973
ByteDance,Security Software Engineer Intern (Security Assurance) - 2027 Start,Security,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7668239347681954101
ByteDance,Production System Engineer Intern (Infrastructure Engineering) - 2027 Start,IT & Infrastructure,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7667888875239278853
ByteDance,Network Reliability Engineer Intern (Network Infrastructure) - 2027 Start,IT & Infrastructure,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7675665753714542853
ByteDance,Network Engineer Intern (Network Infrastructure) - 2027 Start,IT & Infrastructure,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7667819770592790789
ByteDance,Model Safety Policy Project Intern (AI Data & Safety) - 2026 Start,Data & AI,Singapore,2026 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7673402880483346693
ByteDance,"Machine Learning Engineer Intern (Global E-Commerce, Search) - 2027 Start",Data & AI,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7686120054081014069
ByteDance,Large Model Algorithm Engineer Intern (Data Model) - 2026 Start (PHD),Data & AI,Singapore,2026 Start,3 months,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7530952054316910866
ByteDance,Frontend Development Software Engineer Intern (BytePlus) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7668280355758147893
ByteDance,Datacenter Operations Engineer (DCO-SG) Intern (Infrastructure Engineering) - 2027 Start,IT & Infrastructure,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7667826799736703237
ByteDance,Data Science Intern (Global Payment) - 2027 Start,Data & AI,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7668305691418315061
ByteDance,Data Operations Project Intern (AI Data & Safety) - 2026 Start (BS/MS),Data & AI,Singapore,2026 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7631435814623807749
ByteDance,Data AI Engineer Intern (Global Payment) - 2027 Start,Data & AI,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7668304154059606277
ByteDance,"Cloud Site Relibility Engineer Intern (DCS), 2027 Start",IT & Infrastructure,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7670461077579548981
ByteDance,"Big Data Engineer Intern (Data Management Suite, Data Integration) - 2027 Start",Data & AI,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7665278719988533557
ByteDance,"Backend Software Engineer Project Intern (Data Platform, Data Management Suite) - 2026 Start",Data & AI,Singapore,2026 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7670039849048000773
ByteDance,Backend Software Engineer Intern (Foundational Technology) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7668277947425540357
ByteDance,"Backend Software Engineer Intern (Data Platform, Data Management Suite) - 2027 Start",Data & AI,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7665269381649926405
ByteDance,Backend Software Engineer Intern (ByteCloud) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7668278887260850485
ByteDance,Backend Software Engineer (SRE) Intern (Technical Infrastructure) - 2027 Start,Software,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7667852388070377733
ByteDance,AI Product Manager Project Intern (AI Data & Safety) - 2026 Start (BS/MS),Data & AI,Singapore,2026 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7634521917428910341
ByteDance,"AI Agent Machine Learning Engineer Intern (Global E-Commerce, Supply Chain and Logistics) - 2027 Start (PhD)",Data & AI,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7686117700369451269
ByteDance,"AI Agent Algorithm Engineer Intern (Global E-Commerce,  Affiliate) - 2027 Start",Data & AI,Singapore,2027 Start,,,2026-09-24T02:12:37.165076+00:00,2026-09-24T23:03:02.429832+00:00,,https://joinbytedance.com/search/7686119680478644485
Temus,AI/Data Intern (May - Dec 2026),Data & AI,Singapore,May - Dec 2026,,2026-03-30T05:45:12-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://job-boards.greenhouse.io/temus/jobs/5169522008
ShopBack,Software Engineer Intern (H1 2027),Software,"Singapore, Singapore",H1 2027,,,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://jobs.lever.co/shopback-2/1804a30e-2d2e-4631-9e85-614c91806ddf
ShopBack,Operations Automation Engineer Intern,Software,"Singapore, Singapore",H2 2026,,,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://jobs.lever.co/shopback-2/0b3627b7-0c1a-46da-bc3d-699f8d5ca9e5
ShopBack,Data Analyst (Internship) (H1 2027),Data & AI,"Singapore, Singapore",H1 2027,,,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://jobs.lever.co/shopback-2/b216d68c-48b0-4fa5-8f1e-9e0375b993e1
Grab,"Intern, Strategy & Analytics, Transport",Data & AI,"Singapore, , Singapore",,,2026-09-16T07:45:24.403Z,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://jobs.smartrecruiters.com/Grab/744000149793152
Grab,"Intern, Fleet Systems Analyst",IT & Infrastructure,"Singapore, , Singapore",January 2027 Start,,2026-09-04T05:49:10.342Z,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://jobs.smartrecruiters.com/Grab/744000147417629
Grab,"Intern, Analytics & Projects, GrabMart",Data & AI,"Singapore, , Singapore",January 2027 Start,,2026-09-04T05:48:15.134Z,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://jobs.smartrecruiters.com/Grab/744000147417509
Grab,"Intern, Analytics & Projects, GrabMart",Data & AI,"Singapore, , Singapore",January 2027 Start,,2026-09-04T05:44:19.733Z,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://jobs.smartrecruiters.com/Grab/744000147416979
Grab,"Intern, Analytics & Projects, GrabFood",Data & AI,"Singapore, , Singapore",January 2027 Start,,2026-09-04T05:46:16.794Z,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://jobs.smartrecruiters.com/Grab/744000147417199
DRW,Software Engineer Intern (Data Engineering),Data & AI,Singapore,,,2026-08-13T01:02:11-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://job-boards.greenhouse.io/drweng/jobs/8127242
DRW,Software Developer Intern (C++),Software,Singapore,,,2026-07-13T02:23:22-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://job-boards.greenhouse.io/drweng/jobs/8014910
DRW,Quantitative Research Intern,Quant,Singapore,,,2026-07-13T02:23:01-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://job-boards.greenhouse.io/drweng/jobs/8014915
DRW,IT Intern,IT & Infrastructure,Singapore,,,2026-09-02T10:45:57-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-24T23:03:02.429832+00:00,,https://job-boards.greenhouse.io/drweng/jobs/8173677
